,block_number,miner_reward,miner,coinbase_transfers,gas_used,gas_price,is_megabundle
0,13733605,4817358330846491,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,4817358053952731,382319,12600363389,False
1,13733606,6944559176563380,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,6055724292797430,541792,12817758801,False
2,13733609,11059345219770968,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0,1446728,7644384583,False
3,13733610,6785591717742888,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,6785591717742888,280043,24230535016,False
4,13733612,937500000000000,0x2A20380DcA5bC24D052acfbf79ba23e988ad0050,0,93750,10000000000,False
5,13733614,44610763457609811,0x829BD824B016326A401d083B33D092293333A830,0,691045,64555511518,False
6,13733616,50989631594483219,0x45a36a8e118C37e4c47eF4Ab827A7C9e579E11E2,0,1315605,38757553820,False
7,13733620,38269297036621133,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,14352858942571743,763204,50142946101,False
8,13733624,23703351456710851,0x829BD824B016326A401d083B33D092293333A830,0,132799,178490436349,False
9,13733626,121935597268152253,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,119988956840870797,520261,234373895541,False
10,13733628,310472883676626958,0x2A20380DcA5bC24D052acfbf79ba23e988ad0050,0,839680,369751433494,False
11,13733629,875077783433174960,0x433022C4066558E7a32D850F02d2da5cA782174D,722977455555614771,2379450,367764728585,False
12,13733630,33693935936626054,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,18631871739819789,1427458,23604152231,False
13,13733631,20709273919652928,0x6EBaF477F83E055589C1188bCC6DDCCD8C9B131a,19070534116936536,522718,39618444208,False
14,13733633,36876490749949137,0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8,0,407792,90429657153,False
15,13733634,48076566437880342,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,43001475785488141,723931,66410426460,False
16,13733636,126914184053237157,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,17286248190812158,1008545,125838890731,False
17,13733637,157720389197985827,0x45a36a8e118C37e4c47eF4Ab827A7C9e579E11E2,0,274184,575235568807,False
18,13733638,27345459875585057,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,11879034092506481,1640390,16670096669,False
19,13733641,3536637769133521,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,3536637769133521,372327,9498741077,False
20,13733642,5888945843187698,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,0,760142,7747165454,False
21,13733643,120011377302236852,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,118185017875961461,729193,164581088000,False
22,13733644,8780274968814613,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,3057192081031168,722348,12155186930,False
23,13733646,6213384447845331,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,2120115285225886,636677,9759084194,False
24,13733649,40225709382953992,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,40048089545312452,453554,88690011295,False
25,13733650,41817965255087499,0x829BD824B016326A401d083B33D092293333A830,41817965255087499,199701,209402883586,False
26,13733655,796995222681126460,0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,0,258185,3086915284316,False
27,13733659,348543300734409,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,348543300734409,122296,2849997552,False
28,13733666,707746554307816096,0x2A20380DcA5bC24D052acfbf79ba23e988ad0050,283674674704511128,3074597,230191649282,False
29,13733667,27835036863370664,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,5173950769391658,626031,44462713289,False
30,13733672,66334200159544290,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,45328469160500500,1969685,33677567813,False
31,13733673,59932694872608491,0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,47751213543824266,2270435,26397009767,False
32,13733674,71340486903714592,0x829BD824B016326A401d083B33D092293333A830,0,306712,232597638513,False
33,13733679,4867552875342111,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,4200794096247271,770980,6313461925,False
34,13733680,20794513949574568,0x829BD824B016326A401d083B33D092293333A830,20231822991378568,368322,56457431132,False
35,13733684,4033852899019008,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,0,603988,6678697091,False
36,13733685,172229320386787933,0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,28714335165017370,2174737,79195470710,False
37,13733688,64104462769649066,0xc3348B43d3881151224b490e4aa39E03d2B1cDEa,28816391384605163,1018898,62915485916,False
38,13733690,39838724298403338,0x829BD824B016326A401d083B33D092293333A830,27942740056806010,682362,58383562241,False
39,13733693,21899578377774510,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,0,760712,28788264649,False
